Message,XPath,XML Tag,Type,MinOccurs,MaxOccurs
pacs.004.001.15,/Document,Document,Document,1,1
pacs.004.001.15,/Document/PmtRtr,PmtRtr,PaymentReturnV15,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr,GrpHdr,GroupHeader123,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/MsgId,MsgId,Max35Text,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/CreDtTm,CreDtTm,ISODateTime,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/Authstn,Authstn,Authorisation1Choice,0,2
pacs.004.001.15,/Document/PmtRtr/GrpHdr/Authstn/Cd,Cd,Authorisation1Code,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/Authstn/Prtry,Prtry,Max128Text,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/BtchBookg,BtchBookg,BatchBookingIndicator,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/NbOfTxs,NbOfTxs,Max15NumericText,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/CtrlSum,CtrlSum,DecimalNumber,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/GrpRtr,GrpRtr,TrueFalseIndicator,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/TtlRtrdIntrBkSttlmAmt,TtlRtrdIntrBkSttlmAmt,ActiveCurrencyAndAmount,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/IntrBkSttlmDt,IntrBkSttlmDt,ISODate,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf,SttlmInf,SettlementInstruction15,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/SttlmMtd,SttlmMtd,SettlementMethod1Code,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/SttlmAcct,SttlmAcct,CashAccount40,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/SttlmAcct/Id,Id,AccountIdentification4Choice,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/SttlmAcct/Id/IBAN,IBAN,IBAN2007Identifier,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/SttlmAcct/Id/Othr,Othr,GenericAccountIdentification1,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/SttlmAcct/Id/Othr/Id,Id,Max34Text,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/SttlmAcct/Id/Othr/SchmeNm,SchmeNm,AccountSchemeName1Choice,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/SttlmAcct/Id/Othr/SchmeNm/Cd,Cd,ExternalAccountIdentification1Code,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/SttlmAcct/Id/Othr/SchmeNm/Prtry,Prtry,Max35Text,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/SttlmAcct/Id/Othr/Issr,Issr,Max35Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/SttlmAcct/Tp,Tp,CashAccountType2Choice,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/SttlmAcct/Tp/Cd,Cd,ExternalCashAccountType1Code,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/SttlmAcct/Tp/Prtry,Prtry,Max35Text,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/SttlmAcct/Ccy,Ccy,ActiveOrHistoricCurrencyCode,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/SttlmAcct/Nm,Nm,Max70Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/SttlmAcct/Prxy,Prxy,ProxyAccountIdentification1,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/SttlmAcct/Prxy/Tp,Tp,ProxyAccountType1Choice,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/SttlmAcct/Prxy/Tp/Cd,Cd,ExternalProxyAccountType1Code,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/SttlmAcct/Prxy/Tp/Prtry,Prtry,Max35Text,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/SttlmAcct/Prxy/Id,Id,Max2048Text,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/ClrSys,ClrSys,ClearingSystemIdentification3Choice,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/ClrSys/Cd,Cd,ExternalCashClearingSystem1Code,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/ClrSys/Prtry,Prtry,Max35Text,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt,InstgRmbrsmntAgt,BranchAndFinancialInstitutionIdentification8,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId,FinInstnId,FinancialInstitutionIdentification23,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/BICFI,BICFI,BICFIDec2014Identifier,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/ClrSysMmbId,ClrSysMmbId,ClearingSystemMemberIdentification2,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/ClrSysMmbId/ClrSysId,ClrSysId,ClearingSystemIdentification2Choice,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/ClrSysMmbId/ClrSysId/Cd,Cd,ExternalClearingSystemIdentification1Code,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/ClrSysMmbId/ClrSysId/Prtry,Prtry,Max35Text,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/ClrSysMmbId/MmbId,MmbId,Max35Text,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/LEI,LEI,LEIIdentifier,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/Nm,Nm,Max140Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr,PstlAdr,PostalAddress27,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr/AdrTp,AdrTp,AddressType3Choice,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr/AdrTp/Cd,Cd,AddressType2Code,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr/AdrTp/Prtry,Prtry,GenericIdentification30,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr/AdrTp/Prtry/Id,Id,Exact4AlphaNumericText,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr/AdrTp/Prtry/Issr,Issr,Max35Text,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr/AdrTp/Prtry/SchmeNm,SchmeNm,Max35Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr/CareOf,CareOf,Max140Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr/Dept,Dept,Max70Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr/SubDept,SubDept,Max70Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr/StrtNm,StrtNm,Max140Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr/BldgNb,BldgNb,Max16Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr/BldgNm,BldgNm,Max140Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr/Flr,Flr,Max70Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr/UnitNb,UnitNb,Max16Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr/PstBx,PstBx,Max16Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr/Room,Room,Max70Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr/PstCd,PstCd,Max16Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr/TwnNm,TwnNm,Max140Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr/TwnLctnNm,TwnLctnNm,Max140Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr/DstrctNm,DstrctNm,Max140Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr/CtrySubDvsn,CtrySubDvsn,Max35Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr/Ctry,Ctry,CountryCode,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr/AdrLine,AdrLine,Max70Text,0,7
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/Othr,Othr,GenericFinancialIdentification1,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/Othr/Id,Id,Max35Text,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/Othr/SchmeNm,SchmeNm,FinancialIdentificationSchemeName1Choice,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/Othr/SchmeNm/Cd,Cd,ExternalFinancialInstitutionIdentification1Code,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/Othr/SchmeNm/Prtry,Prtry,Max35Text,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/Othr/Issr,Issr,Max35Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/BrnchId,BrnchId,BranchData5,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/BrnchId/Id,Id,Max35Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/BrnchId/LEI,LEI,LEIIdentifier,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/BrnchId/Nm,Nm,Max140Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/BrnchId/PstlAdr,PstlAdr,PostalAddress27,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/BrnchId/PstlAdr/AdrTp,AdrTp,AddressType3Choice,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/BrnchId/PstlAdr/AdrTp/Cd,Cd,AddressType2Code,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/BrnchId/PstlAdr/AdrTp/Prtry,Prtry,GenericIdentification30,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/BrnchId/PstlAdr/AdrTp/Prtry/Id,Id,Exact4AlphaNumericText,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/BrnchId/PstlAdr/AdrTp/Prtry/Issr,Issr,Max35Text,1,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/BrnchId/PstlAdr/AdrTp/Prtry/SchmeNm,SchmeNm,Max35Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/BrnchId/PstlAdr/CareOf,CareOf,Max140Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/BrnchId/PstlAdr/Dept,Dept,Max70Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/BrnchId/PstlAdr/SubDept,SubDept,Max70Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/BrnchId/PstlAdr/StrtNm,StrtNm,Max140Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/BrnchId/PstlAdr/BldgNb,BldgNb,Max16Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/BrnchId/PstlAdr/BldgNm,BldgNm,Max140Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/BrnchId/PstlAdr/Flr,Flr,Max70Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/BrnchId/PstlAdr/UnitNb,UnitNb,Max16Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/BrnchId/PstlAdr/PstBx,PstBx,Max16Text,0,1
pacs.004.001.15,/Document/PmtRtr/GrpHdr/SttlmInf/InstgRmbrsmntAgt/BrnchId/PstlAdr/Room,Room,Max70Text,0,1
